industry,region,last_updated_at,date,value,delta,all_industries_value
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2012-07-01,23096,-2694.0,1908999.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2012-07-01,47790,-3891.0,2050719.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2012-07-01,1472,-56.0,110824.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2012-07-01,5045,-241.0,5698243.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2012-07-01,13219,-720.0,1186896.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2012-07-01,21044,-590.0,1163367.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2012-07-01,25980,-571.0,1957490.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2012-07-01,19833,-1354.0,2030093.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2012-07-01,15093,865.0,981241.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2012-07-01,21387,1849.0,2918203.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2012-07-01,11633,-1133.0,908701.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2012-07-01,16092,-2836.0,1781997.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2012-10-01,14614,-479.0,977216.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2012-10-01,24993,3027.0,1373557.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2012-10-01,26042,2946.0,1907982.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2012-10-01,1543,71.0,111188.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2012-10-01,20747,-640.0,2911674.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2012-10-01,22281,1237.0,1162614.0
